,name,search_name,country,feature_class,lat,long,latitude,longitude
0,Ciudad del Este,Alto Paraná,Paraguay,seat of a first-order administrative division,S 25° 30′ 12'',W 54° 39′ 2'',-25.5033333333333,-54.6505555555556
1,Alto Paraná Department,Alto Paraná,Paraguay,first-order administrative division,S 25° 30′ 0'',W 54° 50′ 0'',-25.5,-54.8333333333333
2,Presidente Franco,Alto Paraná,Paraguay,populated place,S 25° 33′ 49'',W 54° 36′ 39'',-25.5636111111111,-54.6108333333333
3,Santa Fe Del Parana,Alto Paraná,Paraguay,second-order administrative division,S 25° 11′ 20'',W 54° 37′ 42'',-25.1888888888889,-54.6283333333333
4,Guaraní International Airport,Alto Paraná,Paraguay,airport,S 25° 27′ 19'',W 54° 50′ 36'',-25.4552777777778,-54.8433333333333
5,Mbaracayu,Alto Paraná,Paraguay,second-order administrative division,S 25° 0′ 55'',W 54° 41′ 20'',-25.0152777777778,-54.6888888888889
6,Santa Rita,Alto Paraná,Paraguay,second-order administrative division,S 25° 46′ 28'',W 55° 8′ 9'',-25.7744444444444,-55.1358333333333
7,Yguazu,Alto Paraná,Paraguay,second-order administrative division,S 25° 25′ 4'',W 55° 6′ 0'',-25.4177777777778,-55.1
8,Naranjal,Alto Paraná,Paraguay,second-order administrative division,S 25° 57′ 23'',W 55° 12′ 12'',-25.9563888888889,-55.2033333333333
9,Tavapy,Alto Paraná,Paraguay,second-order administrative division,S 25° 37′ 28'',W 55° 4′ 17'',-25.6244444444444,-55.0713888888889
10,San Cristobal,Alto Paraná,Paraguay,second-order administrative division,S 25° 47′ 0'',W 55° 23′ 5'',-25.7833333333333,-55.3847222222222
11,Iruña,Alto Paraná,Paraguay,second-order administrative division,S 26° 7′ 58'',W 55° 2′ 0'',-26.1327777777778,-55.0333333333333
12,Itakyry,Alto Paraná,Paraguay,second-order administrative division,S 24° 48′ 51'',W 55° 9′ 9'',-24.8141666666667,-55.1525
13,Ñacunday,Alto Paraná,Paraguay,second-order administrative division,S 26° 4′ 10'',W 54° 46′ 53'',-26.0694444444444,-54.7813888888889
14,Hernandarias,Alto Paraná,Paraguay,second-order administrative division,S 25° 18′ 54'',W 54° 46′ 40'',-25.315,-54.7777777777778
15,Minga Pora District,Alto Paraná,Paraguay,second-order administrative division,S 24° 52′ 0'',W 54° 55′ 0'',-24.8666666666667,-54.9166666666667
16,Domingo Martinez De Irala,Alto Paraná,Paraguay,second-order administrative division,S 25° 51′ 29'',W 54° 41′ 24'',-25.8580555555556,-54.69
17,Los Cedrales District,Alto Paraná,Paraguay,second-order administrative division,S 25° 41′ 9'',W 54° 45′ 4'',-25.6858333333333,-54.7511111111111
18,San Alberto,Alto Paraná,Paraguay,second-order administrative division,S 24° 58′ 33'',W 54° 54′ 22'',-24.9758333333333,-54.9061111111111
19,Dr. Raul Peña,Alto Paraná,Paraguay,second-order administrative division,S 26° 8′ 5'',W 55° 13′ 29'',-26.1347222222222,-55.2247222222222
20,Presidente Franco,Alto Paraná,Paraguay,second-order administrative division,S 25° 35′ 48'',W 54° 38′ 29'',-25.5966666666667,-54.6413888888889
21,Juan E. O´Leary,Alto Paraná,Paraguay,second-order administrative division,S 25° 28′ 48'',W 55° 21′ 54'',-25.48,-55.365
22,Ciudad Del Este,Alto Paraná,Paraguay,second-order administrative division,S 25° 29′ 52'',W 54° 40′ 47'',-25.4977777777778,-54.6797222222222
23,Minga Guazu,Alto Paraná,Paraguay,second-order administrative division,S 25° 30′ 12'',W 54° 50′ 29'',-25.5033333333333,-54.8413888888889
24,Santa Rosa Del Monday,Alto Paraná,Paraguay,second-order administrative division,S 25° 50′ 44'',W 54° 55′ 23'',-25.8455555555556,-54.9230555555556
25,Dr. Juan Leon Mallorquin,Alto Paraná,Paraguay,second-order administrative division,S 25° 29′ 1'',W 55° 15′ 16'',-25.4836111111111,-55.2544444444444
26,Itakyry,Alto Paraná,Paraguay,populated place,S 24° 59′ 2'',W 55° 8′ 57'',-24.9838888888889,-55.1491666666667
27,Yguazú,Alto Paraná,Paraguay,populated place,S 25° 27′ 39'',W 55° 0′ 17'',-25.4608333333333,-55.0047222222222
28,Doctor Juan León Mallorquín,Alto Paraná,Paraguay,populated place,S 25° 25′ 49'',W 55° 15′ 14'',-25.4302777777778,-55.2538888888889
29,Ypecuarujhá,Alto Paraná,Paraguay,locality,S 24° 19′ 0'',W 54° 50′ 0'',-24.3166666666667,-54.8333333333333
30,Ryguazú,Alto Paraná,Paraguay,area,S 24° 46′ 0'',W 55° 12′ 0'',-24.7666666666667,-55.2
31,Península,Alto Paraná,Paraguay,locality,S 25° 39′ 21'',W 54° 35′ 54'',-25.6558333333333,-54.5983333333333
32,Colonia Yguazú,Alto Paraná,Paraguay,area,S 25° 27′ 6'',W 55° 5′ 3'',-25.4516666666667,-55.0841666666667
33,Cabayú Acangué,Alto Paraná,Paraguay,locality,S 25° 5′ 59'',W 54° 55′ 0'',-25.0997222222222,-54.9166666666667
34,Agrícola Itabó,Alto Paraná,Paraguay,locality,S 25° 2′ 2'',W 54° 30′ 29'',-25.0338888888889,-54.5080555555556
35,San Alberto,Alto Paraná,Paraguay,seat of a second-order administrative division,S 24° 58′ 0'',W 54° 54′ 0'',-24.9666666666667,-54.9
36,Ñacunday,Alto Paraná,Paraguay,populated place,S 26° 1′ 0'',W 54° 46′ 0'',-26.0166666666667,-54.7666666666667
37,Minga Guazú,Alto Paraná,Paraguay,populated place,S 25° 28′ 55'',W 54° 45′ 43'',-25.4819444444444,-54.7619444444444
38,Minga Porá,Alto Paraná,Paraguay,populated place,S 24° 52′ 31'',W 54° 56′ 2'',-24.8752777777778,-54.9338888888889
39,Juan Emiliano O’Leary,Alto Paraná,Paraguay,populated place,S 25° 25′ 11'',W 55° 22′ 23'',-25.4197222222222,-55.3730555555556
40,Domingo Martínez de Irala,Alto Paraná,Paraguay,populated place,S 25° 54′ 39'',W 54° 37′ 41'',-25.9108333333333,-54.6280555555556
41,Planchada Timbo,Alto Paraná,Paraguay,locality,S 25° 11′ 38'',W 54° 47′ 32'',-25.1938888888889,-54.7922222222222
42,Colonia Paraguasil,Alto Paraná,Paraguay,locality,S 25° 12′ 46'',W 54° 34′ 48'',-25.2127777777778,-54.58
43,Carreria Petroinna,Alto Paraná,Paraguay,locality,S 25° 12′ 34'',W 54° 46′ 7'',-25.2094444444444,-54.7686111111111
44,Glebas Cinco,Alto Paraná,Paraguay,locality,S 25° 8′ 18'',W 54° 37′ 5'',-25.1383333333333,-54.6180555555556
45,Puerto Palma,Alto Paraná,Paraguay,locality,S 25° 18′ 51'',W 54° 31′ 52'',-25.3141666666667,-54.5311111111111
46,Dos Hermanas,Alto Paraná,Paraguay,locality,S 25° 15′ 56'',W 54° 31′ 51'',-25.2655555555556,-54.5308333333333
47,Santa Fe del Paraná,Alto Paraná,Paraguay,populated place,S 25° 13′ 22'',W 54° 42′ 10'',-25.2227777777778,-54.7027777777778
48,Yacarecuá,Alto Paraná,Paraguay,locality,S 25° 41′ 0'',W 55° 15′ 0'',-25.6833333333333,-55.25
49,Villa Mercedes,Alto Paraná,Paraguay,area,S 25° 31′ 0'',W 55° 19′ 0'',-25.5166666666667,-55.3166666666667
50,Pedro Juan Caballero,Amambay,Paraguay,seat of a first-order administrative division,S 22° 32′ 57'',W 55° 44′ 19'',-22.5491666666667,-55.7386111111111
51,Amambay Department,Amambay,Paraguay,first-order administrative division,S 22° 50′ 0'',W 55° 57′ 0'',-22.8333333333333,-55.95
52,Dr Augusto Roberto Fuster International Airport,Amambay,Paraguay,airport,S 22° 38′ 24'',W 55° 49′ 48'',-22.64,-55.83
53,Capitan Bado,Amambay,Paraguay,second-order administrative division,S 23° 25′ 27'',W 55° 48′ 46'',-23.4241666666667,-55.8127777777778
54,Zanja Pyta,Amambay,Paraguay,second-order administrative division,S 22° 46′ 18'',W 55° 42′ 31'',-22.7716666666667,-55.7086111111111
55,Pedro Juan Caballero,Amambay,Paraguay,second-order administrative division,S 22° 47′ 34'',W 55° 59′ 0'',-22.7927777777778,-55.9833333333333
56,Bella Vista,Amambay,Paraguay,second-order administrative division,S 22° 28′ 15'',W 56° 27′ 17'',-22.4708333333333,-56.4547222222222
57,Capitán Bado,Amambay,Paraguay,populated place,S 23° 16′ 2'',W 55° 32′ 19'',-23.2672222222222,-55.5386111111111
58,Bella Vista,Amambay,Paraguay,populated place,S 22° 7′ 20'',W 56° 30′ 54'',-22.1222222222222,-56.515
59,Zanja Pytá,Amambay,Paraguay,populated place,S 22° 37′ 51'',W 55° 37′ 47'',-22.6308333333333,-55.6297222222222
60,Chingüelo,Amambay,Paraguay,populated place,S 22° 40′ 0'',W 55° 55′ 0'',-22.6666666666667,-55.9166666666667
61,Cerro Corá,Amambay,Paraguay,populated place,S 22° 37′ 0'',W 55° 59′ 0'',-22.6166666666667,-55.9833333333333
62,Cerro Corá,Amambay,Paraguay,hill,S 22° 40′ 0'',W 55° 59′ 0'',-22.6666666666667,-55.9833333333333
63,Fraccion Amambay,Amambay,Paraguay,third-order administrative division,S 22° 33′ 58'',W 55° 43′ 47'',-22.5661111111111,-55.7297222222222
64,Solares De Amambay,Amambay,Paraguay,third-order administrative division,S 22° 34′ 22'',W 55° 45′ 46'',-22.5727777777778,-55.7627777777778
65,Torín,Amambay,Paraguay,populated place,S 23° 32′ 0'',W 55° 33′ 0'',-23.5333333333333,-55.55
66,Cascada,Amambay,Paraguay,third-order administrative division,S 22° 27′ 57'',W 56° 11′ 48'',-22.4658333333333,-56.1966666666667
67,Kachimbo,Amambay,Paraguay,third-order administrative division,S 22° 30′ 19'',W 55° 56′ 39'',-22.5052777777778,-55.9441666666667
68,Guarani,Amambay,Paraguay,third-order administrative division,S 22° 32′ 42'',W 55° 44′ 24'',-22.545,-55.74
69,Obrero,Amambay,Paraguay,third-order administrative division,S 22° 7′ 0'',W 56° 30′ 38'',-22.1166666666667,-56.5105555555556
70,Ysoso,Amambay,Paraguay,third-order administrative division,S 23° 27′ 10'',W 55° 52′ 23'',-23.4527777777778,-55.8730555555556
71,Obrero,Amambay,Paraguay,third-order administrative division,S 23° 16′ 7'',W 55° 32′ 54'',-23.2686111111111,-55.5483333333333
72,Centro,Amambay,Paraguay,third-order administrative division,S 22° 6′ 58'',W 56° 31′ 4'',-22.1161111111111,-56.5177777777778
73,Potrerito,Amambay,Paraguay,third-order administrative division,S 23° 22′ 55'',W 55° 34′ 45'',-23.3819444444444,-55.5791666666667
74,Kurupayty,Amambay,Paraguay,third-order administrative division,S 23° 13′ 5'',W 55° 35′ 23'',-23.2180555555556,-55.5897222222222
75,Apa,Amambay,Paraguay,third-order administrative division,S 22° 7′ 12'',W 56° 31′ 14'',-22.12,-56.5205555555556
76,Menta,Amambay,Paraguay,third-order administrative division,S 23° 17′ 48'',W 55° 38′ 44'',-23.2966666666667,-55.6455555555556
77,Primavera,Amambay,Paraguay,third-order administrative division,S 23° 15′ 38'',W 55° 32′ 14'',-23.2605555555556,-55.5372222222222
78,Guillermina,Amambay,Paraguay,third-order administrative division,S 22° 29′ 31'',W 55° 45′ 59'',-22.4919444444444,-55.7663888888889
79,Chiriguelo,Amambay,Paraguay,third-order administrative division,S 22° 40′ 16'',W 55° 54′ 23'',-22.6711111111111,-55.9063888888889
80,Gasory,Amambay,Paraguay,third-order administrative division,S 22° 39′ 51'',W 56° 9′ 45'',-22.6641666666667,-56.1625
81,Obrero,Amambay,Paraguay,third-order administrative division,S 22° 34′ 6'',W 55° 44′ 38'',-22.5683333333333,-55.7438888888889
82,Santa Lucia,Amambay,Paraguay,third-order administrative division,S 22° 37′ 59'',W 55° 37′ 42'',-22.6330555555556,-55.6283333333333
83,Apami,Amambay,Paraguay,third-order administrative division,S 22° 9′ 58'',W 56° 30′ 21'',-22.1661111111111,-56.5058333333333
84,Piky,Amambay,Paraguay,third-order administrative division,S 22° 41′ 53'',W 56° 12′ 31'',-22.6980555555556,-56.2086111111111
85,Yvype,Amambay,Paraguay,third-order administrative division,S 22° 35′ 37'',W 55° 48′ 2'',-22.5936111111111,-55.8005555555556
86,Casualidad,Amambay,Paraguay,third-order administrative division,S 22° 33′ 49'',W 56° 25′ 38'',-22.5636111111111,-56.4272222222222
87,Aguara,Amambay,Paraguay,third-order administrative division,S 23° 21′ 13'',W 55° 44′ 24'',-23.3536111111111,-55.74
88,Guavira,Amambay,Paraguay,third-order administrative division,S 22° 45′ 51'',W 56° 8′ 6'',-22.7641666666667,-56.135
89,Fortuna,Amambay,Paraguay,third-order administrative division,S 22° 44′ 30'',W 55° 44′ 24'',-22.7416666666667,-55.74
90,Jaguarundi,Amambay,Paraguay,third-order administrative division,S 23° 37′ 11'',W 55° 39′ 43'',-23.6197222222222,-55.6619444444444
91,Rinconada,Amambay,Paraguay,third-order administrative division,S 22° 18′ 10'',W 56° 40′ 58'',-22.3027777777778,-56.6827777777778
92,Florida,Amambay,Paraguay,third-order administrative division,S 22° 37′ 52'',W 55° 37′ 53'',-22.6311111111111,-55.6313888888889
93,Republica,Amambay,Paraguay,third-order administrative division,S 22° 36′ 16'',W 55° 42′ 39'',-22.6044444444444,-55.7108333333333
94,Arroyito,Amambay,Paraguay,third-order administrative division,S 23° 20′ 37'',W 55° 51′ 12'',-23.3436111111111,-55.8533333333333
95,Umbu,Amambay,Paraguay,third-order administrative division,S 23° 15′ 51'',W 55° 42′ 45'',-23.2641666666667,-55.7125
